Training Settings: epochs=300, lr=0.0001, device=cuda
--------------------------------------------------
Epoch [260/300] | Dec Loss: 0.032012 | Enh Loss: 0.107519
Epoch [261/300] | Dec Loss: 0.032199 | Enh Loss: 0.107318
Epoch [262/300] | Dec Loss: 0.032294 | Enh Loss: 0.107807
Epoch [263/300] | Dec Loss: 0.032197 | Enh Loss: 0.107486
Epoch [264/300] | Dec Loss: 0.032256 | Enh Loss: 0.107725
Epoch [265/300] | Dec Loss: 0.032248 | Enh Loss: 0.107496
Epoch [266/300] | Dec Loss: 0.032167 | Enh Loss: 0.107631
Epoch [267/300] | Dec Loss: 0.032089 | Enh Loss: 0.107040
Epoch [268/300] | Dec Loss: 0.032105 | Enh Loss: 0.107382
Epoch [269/300] | Dec Loss: 0.032224 | Enh Loss: 0.107538
Epoch [270/300] | Dec Loss: 0.032021 | Enh Loss: 0.107304
Epoch [271/300] | Dec Loss: 0.032018 | Enh Loss: 0.107504
Epoch [272/300] | Dec Loss: 0.031992 | Enh Loss: 0.107697
Epoch [273/300] | Dec Loss: 0.032160 | Enh Loss: 0.107478
Epoch [274/300] | Dec Loss: 0.031990 | Enh Loss: 0.107626
Epoch [275/300] | Dec Loss: 0.032111 | Enh Loss: 0.107233
Epoch [276/300] | Dec Loss: 0.032148 | Enh Loss: 0.107450
Epoch [277/300] | Dec Loss: 0.031922 | Enh Loss: 0.107142
Epoch [278/300] | Dec Loss: 0.032013 | Enh Loss: 0.107277
Epoch [279/300] | Dec Loss: 0.032181 | Enh Loss: 0.107705
Epoch [280/300] | Dec Loss: 0.032093 | Enh Loss: 0.107429
Epoch [281/300] | Dec Loss: 0.032134 | Enh Loss: 0.107294
Epoch [282/300] | Dec Loss: 0.031928 | Enh Loss: 0.107381
Epoch [283/300] | Dec Loss: 0.031988 | Enh Loss: 0.107335
Epoch [284/300] | Dec Loss: 0.032116 | Enh Loss: 0.107495
Epoch [285/300] | Dec Loss: 0.031936 | Enh Loss: 0.107273
Epoch [286/300] | Dec Loss: 0.032147 | Enh Loss: 0.107362
Epoch [287/300] | Dec Loss: 0.031903 | Enh Loss: 0.107328
Epoch [288/300] | Dec Loss: 0.031957 | Enh Loss: 0.107416
Epoch [289/300] | Dec Loss: 0.031977 | Enh Loss: 0.107451
Epoch [290/300] | Dec Loss: 0.032215 | Enh Loss: 0.107464
Epoch [291/300] | Dec Loss: 0.032022 | Enh Loss: 0.107377
Epoch [292/300] | Dec Loss: 0.032170 | Enh Loss: 0.107331
Epoch [293/300] | Dec Loss: 0.031859 | Enh Loss: 0.107244
Epoch [294/300] | Dec Loss: 0.032052 | Enh Loss: 0.107427
Epoch [295/300] | Dec Loss: 0.032019 | Enh Loss: 0.107177
Epoch [296/300] | Dec Loss: 0.031954 | Enh Loss: 0.107189
Epoch [297/300] | Dec Loss: 0.032023 | Enh Loss: 0.107239
Epoch [298/300] | Dec Loss: 0.032028 | Enh Loss: 0.107280
Epoch [299/300] | Dec Loss: 0.031883 | Enh Loss: 0.107514
Epoch [300/300] | Dec Loss: 0.032030 | Enh Loss: 0.107014
